pattern,blur_sigma,blurred_tiles,area_fraction,placement,tile_row,tile_column,is_blurred,metric,reference_score,observed_score,score_ratio
checkerboard,2,1,0.0625,edge,1,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,1,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,1,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,1,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,2,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,2,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,2,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,2,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,3,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,3,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,3,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,3,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,2,1,0.0625,edge,0,0,1,tenengrad_energy,380497.851562,55479.200195,0.145807
checkerboard,2,1,0.0625,edge,0,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,2,1,0.0625,edge,0,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,2,1,0.0625,edge,0,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,2,1,0.0625,edge,1,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,2,1,0.0625,edge,1,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,2,1,0.0625,edge,1,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
