platform_label,control_id,reference_fixture,candidate_fixture,adapter,compressed_core_equal,shape_contract,dtype_contract,exact_pixels,within_one_code_value,reference_bgr_sha256,candidate_bgr_sha256,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction
ubuntu-x64-scalar,exif_raw_metadata_invariance,rgb_orientation_1,rgb_orientation_7,ffmpeg,1,1,1,1,1,4114ce3d2663a6179379542d1c173b85ab0f96e0ad43ff4e774c66230e9a93fe,4114ce3d2663a6179379542d1c173b85ab0f96e0ad43ff4e774c66230e9a93fe,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,exif_raw_metadata_invariance,rgb_orientation_1,rgb_orientation_7,opencv,1,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,exif_raw_metadata_invariance,rgb_orientation_1,rgb_orientation_7,pillow,1,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,exif_raw_metadata_invariance,rgb_orientation_1,rgb_orientation_8,ffmpeg,1,1,1,1,1,4114ce3d2663a6179379542d1c173b85ab0f96e0ad43ff4e774c66230e9a93fe,4114ce3d2663a6179379542d1c173b85ab0f96e0ad43ff4e774c66230e9a93fe,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,exif_raw_metadata_invariance,rgb_orientation_1,rgb_orientation_8,opencv,1,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,exif_raw_metadata_invariance,rgb_orientation_1,rgb_orientation_8,pillow,1,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,icc_managed_profile_response,rgb_icc_gamma_1_0,rgb_icc_gamma_2_2,pillow_imagecms,1,1,1,0,0,8fbb10d39ee07cfeec1d51bc183e10f5efd83b1c1a44dd92017e64e934f94c2e,fc073167ee5366b37fb5027293fca641cb726b1d3a83491e01edd48dff6a523c,48.901620370,76,0.994034900,1.000000000
ubuntu-x64-scalar,icc_raw_metadata_invariance,rgb_untagged,rgb_icc_gamma_1_0,ffmpeg,1,1,1,1,1,4114ce3d2663a6179379542d1c173b85ab0f96e0ad43ff4e774c66230e9a93fe,4114ce3d2663a6179379542d1c173b85ab0f96e0ad43ff4e774c66230e9a93fe,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,icc_raw_metadata_invariance,rgb_untagged,rgb_icc_gamma_1_0,opencv,1,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,icc_raw_metadata_invariance,rgb_untagged,rgb_icc_gamma_1_0,pillow,1,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
