platform_label,stage,control_id,vertex_index,x,y,z,incident_edge_count,incident_face_count,link_arc_count,link_component_count,degree_one_count,maximum_degree,classification
linux-x64-reference,step_imported,face_touching_boxes,14,8,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,15,8,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,16,8,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,1,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,2,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,3,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,4,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,5,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,6,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,7,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,8,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,9,3,1,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,10,3,1,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,11,3,5,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,12,3,5,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,13,7,1,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,14,7,1,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,15,7,5,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,overlapping_boxes,16,7,5,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,1,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,2,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,3,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,4,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,5,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,6,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,7,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,8,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,9,3,1,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,10,3,1,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,11,3,5,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,12,3,5,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,13,7,1,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,14,7,1,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,15,7,5,1,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,overlapping_boxes,16,7,5,5,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,separated_faces,1,-2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,separated_faces,2,-2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,separated_faces,3,2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,separated_faces,4,2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,separated_faces,5,-2,-2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,separated_faces,6,-2,2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,separated_faces,7,2,-2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,separated_faces,8,2,2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,1,-2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,2,-2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,3,2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,4,2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,5,-2,-2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,6,-2,2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,7,2,-2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,separated_faces,8,2,2,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,1,-2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,2,-2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,3,2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,4,2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,5,-1,0,-1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,6,1,0,-1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,7,-1,0,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,constructed,crossing_faces,8,1,0,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,1,-2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,2,-2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,3,2,-2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,4,2,2,0,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,5,-1,0,-1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,6,1,0,-1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,7,-1,0,1,2,1,1,1,2,1,boundary_manifold
linux-x64-reference,step_imported,crossing_faces,8,1,0,1,2,1,1,1,2,1,boundary_manifold
