platform_label,stage,control_id,edge_index,use_count,incident_face_count,incident_face_indices,orientations,boundary,manifold_pair,nonmanifold,paired_orientations_opposed
linux-x64-reference,step_imported,flipped_face_box,8,2,2,3;6,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,9,2,2,3;5,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,10,2,2,3;4,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,11,2,2,4;5,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,12,2,2,5;6,reversed;forward,0,1,0,1
linux-x64-reference,constructed,nonmanifold_fan,1,3,3,1;2;3,forward;reversed;forward,0,0,1,
linux-x64-reference,constructed,nonmanifold_fan,2,1,1,1,forward,1,0,0,
linux-x64-reference,constructed,nonmanifold_fan,3,1,1,1,forward,1,0,0,
linux-x64-reference,constructed,nonmanifold_fan,4,1,1,2,reversed,1,0,0,
linux-x64-reference,constructed,nonmanifold_fan,5,1,1,2,reversed,1,0,0,
linux-x64-reference,constructed,nonmanifold_fan,6,1,1,3,forward,1,0,0,
linux-x64-reference,constructed,nonmanifold_fan,7,1,1,3,forward,1,0,0,
linux-x64-reference,step_imported,nonmanifold_fan,1,3,3,1;2;3,reversed;forward;forward,0,0,1,
linux-x64-reference,step_imported,nonmanifold_fan,2,1,1,1,reversed,1,0,0,
linux-x64-reference,step_imported,nonmanifold_fan,3,1,1,1,reversed,1,0,0,
linux-x64-reference,step_imported,nonmanifold_fan,4,1,1,2,forward,1,0,0,
linux-x64-reference,step_imported,nonmanifold_fan,5,1,1,2,forward,1,0,0,
linux-x64-reference,step_imported,nonmanifold_fan,6,1,1,3,forward,1,0,0,
linux-x64-reference,step_imported,nonmanifold_fan,7,1,1,3,forward,1,0,0,
linux-x64-reference,constructed,valid_torus,1,2,1,1,reversed;forward,0,1,0,1
linux-x64-reference,constructed,valid_torus,2,2,1,1,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,valid_torus,1,2,1,1,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,valid_torus,2,2,1,1,reversed;forward,0,1,0,1
linux-x64-reference,constructed,disconnected_faces,1,1,1,1,forward,1,0,0,
linux-x64-reference,constructed,disconnected_faces,2,1,1,1,forward,1,0,0,
linux-x64-reference,constructed,disconnected_faces,3,1,1,1,forward,1,0,0,
linux-x64-reference,constructed,disconnected_faces,4,1,1,2,forward,1,0,0,
linux-x64-reference,constructed,disconnected_faces,5,1,1,2,forward,1,0,0,
linux-x64-reference,constructed,disconnected_faces,6,1,1,2,forward,1,0,0,
linux-x64-reference,step_imported,disconnected_faces,1,1,1,1,forward,1,0,0,
linux-x64-reference,step_imported,disconnected_faces,2,1,1,1,forward,1,0,0,
linux-x64-reference,step_imported,disconnected_faces,3,1,1,1,forward,1,0,0,
linux-x64-reference,step_imported,disconnected_faces,4,1,1,2,forward,1,0,0,
linux-x64-reference,step_imported,disconnected_faces,5,1,1,2,forward,1,0,0,
linux-x64-reference,step_imported,disconnected_faces,6,1,1,2,forward,1,0,0,
