pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,3,laplacian_variance,30,0.018930,0.003594,0.014337,0.019326,0.023145,0.003621,0.002156
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,3,tenengrad_energy,30,0.597125,0.123761,0.460003,0.575133,0.755973,0.052198,0.039826
resize_linear_linear,0.5x INTER_LINEAR down and up,0,0,laplacian_variance,30,0.091416,0.036553,0.041351,0.108869,0.124029,0.091416,0.036553
resize_linear_linear,0.5x INTER_LINEAR down and up,0,0,tenengrad_energy,30,0.567999,0.043670,0.519706,0.560268,0.624022,0.567999,0.043670
resize_linear_linear,0.5x INTER_LINEAR down and up,0,1,laplacian_variance,30,0.494807,0.036645,0.454930,0.487278,0.542214,0.023854,0.005022
resize_linear_linear,0.5x INTER_LINEAR down and up,0,1,tenengrad_energy,30,0.689526,0.048267,0.651406,0.660752,0.756421,0.326682,0.045789
resize_linear_linear,0.5x INTER_LINEAR down and up,0,2,laplacian_variance,30,0.768175,0.058522,0.722697,0.732477,0.849351,0.006712,0.001838
resize_linear_linear,0.5x INTER_LINEAR down and up,0,2,tenengrad_energy,30,0.761164,0.069015,0.693646,0.735869,0.853977,0.144588,0.056682
resize_linear_linear,0.5x INTER_LINEAR down and up,0,3,laplacian_variance,30,0.784906,0.054237,0.737191,0.758189,0.859338,0.002097,0.001496
resize_linear_linear,0.5x INTER_LINEAR down and up,0,3,tenengrad_energy,30,0.780719,0.059291,0.728003,0.752185,0.861968,0.049461,0.039707
resize_linear_linear,0.5x INTER_LINEAR down and up,5,0,laplacian_variance,30,0.091428,0.036714,0.041039,0.109384,0.123856,0.089811,0.035161
resize_linear_linear,0.5x INTER_LINEAR down and up,5,0,tenengrad_energy,30,0.568039,0.044526,0.518068,0.561305,0.624718,0.556465,0.036908
resize_linear_linear,0.5x INTER_LINEAR down and up,5,1,laplacian_variance,30,0.372208,0.002913,0.368288,0.373918,0.375033,0.024396,0.005529
resize_linear_linear,0.5x INTER_LINEAR down and up,5,1,tenengrad_energy,30,0.685209,0.048534,0.644193,0.659247,0.752211,0.324320,0.045791
resize_linear_linear,0.5x INTER_LINEAR down and up,5,2,laplacian_variance,30,0.249594,0.024068,0.228426,0.237269,0.283211,0.006930,0.001968
resize_linear_linear,0.5x INTER_LINEAR down and up,5,2,tenengrad_energy,30,0.755501,0.069378,0.684764,0.734028,0.847715,0.145084,0.056516
resize_linear_linear,0.5x INTER_LINEAR down and up,5,3,laplacian_variance,30,0.093512,0.026827,0.059475,0.096974,0.124151,0.002308,0.001613
resize_linear_linear,0.5x INTER_LINEAR down and up,5,3,tenengrad_energy,30,0.750696,0.072933,0.677392,0.726128,0.848246,0.049783,0.039716
resize_linear_linear,0.5x INTER_LINEAR down and up,15,0,laplacian_variance,30,0.085746,0.034678,0.037742,0.105546,0.114009,0.085697,0.031683
resize_linear_linear,0.5x INTER_LINEAR down and up,15,0,tenengrad_energy,30,0.563878,0.045742,0.510998,0.559482,0.621136,0.533142,0.026019
resize_linear_linear,0.5x INTER_LINEAR down and up,15,1,laplacian_variance,30,0.140604,0.024679,0.112430,0.137428,0.171983,0.025512,0.005867
resize_linear_linear,0.5x INTER_LINEAR down and up,15,1,tenengrad_energy,30,0.665185,0.046770,0.626624,0.639064,0.729874,0.317529,0.044611
resize_linear_linear,0.5x INTER_LINEAR down and up,15,2,laplacian_variance,30,0.047155,0.005520,0.042701,0.043981,0.054959,0.008139,0.002378
resize_linear_linear,0.5x INTER_LINEAR down and up,15,2,tenengrad_energy,30,0.705105,0.075814,0.622721,0.688650,0.803637,0.146274,0.055118
resize_linear_linear,0.5x INTER_LINEAR down and up,15,3,laplacian_variance,30,0.018930,0.003594,0.014337,0.019326,0.023145,0.003621,0.002156
resize_linear_linear,0.5x INTER_LINEAR down and up,15,3,tenengrad_energy,30,0.597125,0.123761,0.460003,0.575133,0.755973,0.052198,0.039826
gaussian_denoise,Gaussian low-pass sigma 1,0,0,laplacian_variance,30,0.048873,0.012095,0.032910,0.052272,0.061438,0.048873,0.012095
gaussian_denoise,Gaussian low-pass sigma 1,0,0,tenengrad_energy,30,0.472182,0.042579,0.412987,0.500900,0.502660,0.472182,0.042579
gaussian_denoise,Gaussian low-pass sigma 1,0,1,laplacian_variance,30,0.416223,0.060926,0.373103,0.374634,0.500932,0.019664,0.002673
gaussian_denoise,Gaussian low-pass sigma 1,0,1,tenengrad_energy,30,0.683022,0.046671,0.638906,0.663866,0.746295,0.323793,0.046211
gaussian_denoise,Gaussian low-pass sigma 1,0,2,laplacian_variance,30,0.735548,0.057462,0.678763,0.715264,0.812617,0.006429,0.001765
gaussian_denoise,Gaussian low-pass sigma 1,0,2,tenengrad_energy,30,0.763891,0.066754,0.697635,0.740725,0.853312,0.144962,0.056287
gaussian_denoise,Gaussian low-pass sigma 1,0,3,laplacian_variance,30,0.752515,0.048214,0.711662,0.726910,0.818973,0.002008,0.001421
gaussian_denoise,Gaussian low-pass sigma 1,0,3,tenengrad_energy,30,0.777558,0.055671,0.728115,0.750700,0.853859,0.049119,0.039246
gaussian_denoise,Gaussian low-pass sigma 1,5,0,laplacian_variance,30,0.048862,0.012320,0.032575,0.052350,0.061646,0.048138,0.011516
gaussian_denoise,Gaussian low-pass sigma 1,5,0,tenengrad_energy,30,0.472353,0.042216,0.413640,0.501625,0.501771,0.463516,0.045515
