pattern,blur_sigma,quality,chroma_sampling,encoder_path,encoder_path_description,decoder,metric,score,uncompressed_score,ratio_to_uncompressed,encoded_size_bytes,encoded_sha256,decoded_sha256,quantization_fingerprint,component_signature
achromatic_checkerboard,0,50,420,pillow_quality,"Pillow numeric quality, default Huffman coding",pillow,laplacian_variance,22180.500000,22180.500000,1.000000,2290,ac3ae4d7c2291bce44c4f00ce42b1927ed9b860f1ebb1940208567f1b18723df,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_quality,"Pillow numeric quality, default Huffman coding",pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,2290,ac3ae4d7c2291bce44c4f00ce42b1927ed9b860f1ebb1940208567f1b18723df,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,opencv,laplacian_variance,22180.500000,22180.500000,1.000000,2290,ac3ae4d7c2291bce44c4f00ce42b1927ed9b860f1ebb1940208567f1b18723df,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,2290,ac3ae4d7c2291bce44c4f00ce42b1927ed9b860f1ebb1940208567f1b18723df,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,pillow,laplacian_variance,22180.500000,22180.500000,1.000000,2290,ac3ae4d7c2291bce44c4f00ce42b1927ed9b860f1ebb1940208567f1b18723df,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,2290,ac3ae4d7c2291bce44c4f00ce42b1927ed9b860f1ebb1940208567f1b18723df,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",opencv,laplacian_variance,22180.500000,22180.500000,1.000000,1180,b3dda488e4833899f057be5f769f03aad23550f7a72935ef6e6e05e9b3e78837,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,1180,b3dda488e4833899f057be5f769f03aad23550f7a72935ef6e6e05e9b3e78837,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",pillow,laplacian_variance,22180.500000,22180.500000,1.000000,1180,b3dda488e4833899f057be5f769f03aad23550f7a72935ef6e6e05e9b3e78837,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,420,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,1180,b3dda488e4833899f057be5f769f03aad23550f7a72935ef6e6e05e9b3e78837,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",opencv,laplacian_variance,22180.500000,22180.500000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",pillow,laplacian_variance,22180.500000,22180.500000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_quality,"Pillow numeric quality, default Huffman coding",opencv,laplacian_variance,22180.500000,22180.500000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
