report_family,fixture_id,fixture_family,mutation,adapter,platform_profiles,observations,strict_accept_rate,decode_success_rate,shape_contract_rate,dtype_contract_rate,exact_success_rate,exact_rate_among_successes,unique_output_hashes,error_categories,unique_diagnostic_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
fixture_decoder,exif_orientation_9,malformed_exif,orientation_out_of_range,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_orientation_9,malformed_exif,orientation_out_of_range,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_orientation_9,malformed_exif,orientation_out_of_range,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,exif_truncated_header,malformed_exif,truncated_tiff_header,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_truncated_header,malformed_exif,truncated_tiff_header,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_truncated_header,malformed_exif,truncated_tiff_header,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,icc_gamma_2_2_valid,valid_icc,single_complete_chunk,all_decoders,5,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_gamma_2_2_valid,valid_icc,single_complete_chunk,opencv,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
