platform_label,fixture_id,fixture_family,policy,reference_policy,metadata_control,shape_contract,dtype_contract,exact_pixels,within_one_code_value,reference_bgr_sha256,candidate_bgr_sha256,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction
linux-x64-reference,rgb_orientation_7,exif_orientation,opencv_apply_orientation,opencv_orientation_normalized_pixels,orientation_7,1,1,1,1,ceeb33c8191484983dc3a2feb5a2c6deeb87cf7cd129c3c5b1732407788272f9,ceeb33c8191484983dc3a2feb5a2c6deeb87cf7cd129c3c5b1732407788272f9,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_7,exif_orientation,pillow_ignore_orientation,pillow_raw_unoriented_pixels,orientation_7,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_7,exif_orientation,pillow_exif_transpose,pillow_orientation_normalized_pixels,orientation_7,1,1,1,1,ceeb33c8191484983dc3a2feb5a2c6deeb87cf7cd129c3c5b1732407788272f9,ceeb33c8191484983dc3a2feb5a2c6deeb87cf7cd129c3c5b1732407788272f9,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_8,exif_orientation,opencv_ignore_orientation,opencv_raw_unoriented_pixels,orientation_8,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_8,exif_orientation,opencv_apply_orientation,opencv_orientation_normalized_pixels,orientation_8,1,1,1,1,0852d8aec2e2431f1cb77dee18f779bd38270618e0ea362c5eb15f9b6670f089,0852d8aec2e2431f1cb77dee18f779bd38270618e0ea362c5eb15f9b6670f089,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_8,exif_orientation,pillow_ignore_orientation,pillow_raw_unoriented_pixels,orientation_8,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_8,exif_orientation,pillow_exif_transpose,pillow_orientation_normalized_pixels,orientation_8,1,1,1,1,0852d8aec2e2431f1cb77dee18f779bd38270618e0ea362c5eb15f9b6670f089,0852d8aec2e2431f1cb77dee18f779bd38270618e0ea362c5eb15f9b6670f089,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,cmyk_adobe0,four_component_color,opencv_rendered_bgr,source_cmyk_arithmetic_preview,adobe_transform_0,1,1,0,0,31cb52e0cb5ad9637e3faa84832e0052ee576ce68f8d4dd9c1455b63f4647fc3,2aff236db4c2b33666e8f7f37e4c013408e34fdfee359daf64d5cfe0de97776c,2.164975071,26,0.797364672,0.991720085
linux-x64-reference,cmyk_adobe0,four_component_color,pillow_rendered_bgr,source_cmyk_arithmetic_preview,adobe_transform_0,1,1,0,0,31cb52e0cb5ad9637e3faa84832e0052ee576ce68f8d4dd9c1455b63f4647fc3,1d72a5d596f5c1cec69ea76782dd3d6af58a313e98de7e0e324d8c72762a397f,1.827323718,26,0.586315883,0.959001068
linux-x64-reference,cmyk_adobe0,four_component_color,ffmpeg_rendered_bgr,source_cmyk_arithmetic_preview,adobe_transform_0,1,1,0,0,31cb52e0cb5ad9637e3faa84832e0052ee576ce68f8d4dd9c1455b63f4647fc3,77e174f28a7a6ee5f40c95db9d767a555342fb8f2f14e133f9ffd58c7e276574,1.967770655,24,0.693242521,0.982638889
linux-x64-reference,ycck_adobe2,four_component_color,opencv_rendered_bgr,source_cmyk_arithmetic_preview,adobe_transform_2,1,1,0,0,31cb52e0cb5ad9637e3faa84832e0052ee576ce68f8d4dd9c1455b63f4647fc3,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,4.141070157,55,0.901442308,0.998931624
linux-x64-reference,ycck_adobe2,four_component_color,pillow_rendered_bgr,source_cmyk_arithmetic_preview,adobe_transform_2,1,1,0,0,31cb52e0cb5ad9637e3faa84832e0052ee576ce68f8d4dd9c1455b63f4647fc3,9a83413ec263e2f4531cfd11016c1bb991909e2505227e566d1ff43e76184c1b,3.954148860,54,0.877849003,0.998397436
linux-x64-reference,ycck_adobe2,four_component_color,ffmpeg_rendered_bgr,source_cmyk_arithmetic_preview,adobe_transform_2,1,1,0,0,31cb52e0cb5ad9637e3faa84832e0052ee576ce68f8d4dd9c1455b63f4647fc3,fca9d440634feda845a306cb5bd495e789b8f6bb2a67d949e3cdc36e3bbd1a12,53.070735399,238,0.993278134,1.000000000
