pattern,noise_std,trial,seed,configuration,window_size,stride,metric,positive_window_count,minimum_ratio,minimum_ratio_window_coverage,average_precision
checkerboard,15,4,20262926,fine_32,32,16,tenengrad_energy,21,0.046618,1.000000,1.000000
checkerboard,15,5,20262927,overlap_64,64,32,laplacian_variance,5,0.133398,1.000000,1.000000
checkerboard,15,5,20262927,overlap_64,64,32,tenengrad_energy,5,0.043469,1.000000,1.000000
checkerboard,15,5,20262927,fine_32,32,16,laplacian_variance,21,0.151971,1.000000,1.000000
checkerboard,15,5,20262927,fine_32,32,16,tenengrad_energy,21,0.044656,1.000000,1.000000
checkerboard,15,6,20262928,overlap_64,64,32,laplacian_variance,5,0.132746,1.000000,1.000000
checkerboard,15,6,20262928,overlap_64,64,32,tenengrad_energy,5,0.044690,1.000000,1.000000
checkerboard,15,6,20262928,fine_32,32,16,laplacian_variance,21,0.146434,1.000000,1.000000
checkerboard,15,6,20262928,fine_32,32,16,tenengrad_energy,21,0.046595,1.000000,1.000000
checkerboard,15,7,20262929,overlap_64,64,32,laplacian_variance,5,0.138772,1.000000,1.000000
checkerboard,15,7,20262929,overlap_64,64,32,tenengrad_energy,5,0.044344,1.000000,1.000000
checkerboard,15,7,20262929,fine_32,32,16,laplacian_variance,21,0.154649,1.000000,1.000000
checkerboard,15,7,20262929,fine_32,32,16,tenengrad_energy,21,0.045597,1.000000,1.000000
checkerboard,15,8,20262930,overlap_64,64,32,laplacian_variance,5,0.131667,1.000000,1.000000
checkerboard,15,8,20262930,overlap_64,64,32,tenengrad_energy,5,0.043699,1.000000,1.000000
checkerboard,15,8,20262930,fine_32,32,16,laplacian_variance,21,0.149664,1.000000,1.000000
checkerboard,15,8,20262930,fine_32,32,16,tenengrad_energy,21,0.046741,1.000000,1.000000
checkerboard,15,9,20262931,overlap_64,64,32,laplacian_variance,5,0.137050,1.000000,1.000000
checkerboard,15,9,20262931,overlap_64,64,32,tenengrad_energy,5,0.043575,1.000000,1.000000
checkerboard,15,9,20262931,fine_32,32,16,laplacian_variance,21,0.158697,1.000000,1.000000
checkerboard,15,9,20262931,fine_32,32,16,tenengrad_energy,21,0.046461,1.000000,1.000000
