pattern,placement,blur_sigma,configuration,window_size,stride,metric,window_count,positive_window_count,max_window_coverage,minimum_ratio,minimum_ratio_window_coverage,best_coverage_ratio,average_precision
vertical_bars,aligned,2,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.030248,1.000000,0.030248,1.000000
vertical_bars,aligned,2,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.278064,1.000000,0.278064,1.000000
vertical_bars,aligned,2,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.030248,1.000000,0.030248,1.000000
vertical_bars,aligned,2,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.278064,1.000000,0.278064,1.000000
vertical_bars,aligned,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.055958,1.000000,0.055958,1.000000
vertical_bars,aligned,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.300787,1.000000,0.300787,1.000000
vertical_bars,aligned,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.752021,0.250000,0.752021,
vertical_bars,aligned,2,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.814423,0.250000,0.814423,
vertical_bars,aligned,3,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.012988,1.000000,0.012988,1.000000
vertical_bars,aligned,3,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.128390,1.000000,0.128390,1.000000
vertical_bars,aligned,3,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.012988,1.000000,0.012988,1.000000
vertical_bars,aligned,3,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.128390,1.000000,0.128390,1.000000
vertical_bars,aligned,3,fine_32,32,16,laplacian_variance,225,21,1.000000,0.023765,1.000000,0.023765,1.000000
vertical_bars,aligned,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.140561,1.000000,0.140561,1.000000
vertical_bars,aligned,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.750442,0.250000,0.750442,
vertical_bars,aligned,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.777319,0.250000,0.777319,
vertical_bars,offset_16,1,nonoverlap_64,64,64,laplacian_variance,16,1,0.562500,0.452590,0.562500,0.452590,1.000000
vertical_bars,offset_16,1,nonoverlap_64,64,64,tenengrad_energy,16,1,0.562500,0.708517,0.562500,0.708517,1.000000
vertical_bars,offset_16,1,overlap_64,64,32,laplacian_variance,49,4,0.562500,0.452590,0.562500,0.452590,1.000000
vertical_bars,offset_16,1,overlap_64,64,32,tenengrad_energy,49,4,0.562500,0.708517,0.562500,0.708517,1.000000
vertical_bars,offset_16,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.152941,1.000000,0.152941,1.000000
vertical_bars,offset_16,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.531667,1.000000,0.531667,1.000000
vertical_bars,offset_16,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.744206,0.250000,0.744206,
vertical_bars,offset_16,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.865420,0.250000,0.865420,
vertical_bars,offset_16,2,nonoverlap_64,64,64,laplacian_variance,16,1,0.562500,0.414619,0.562500,0.414619,1.000000
vertical_bars,offset_16,2,nonoverlap_64,64,64,tenengrad_energy,16,1,0.562500,0.561984,0.562500,0.561984,1.000000
vertical_bars,offset_16,2,overlap_64,64,32,laplacian_variance,49,4,0.562500,0.414619,0.562500,0.414619,1.000000
vertical_bars,offset_16,2,overlap_64,64,32,tenengrad_energy,49,4,0.562500,0.561984,0.562500,0.561984,1.000000
vertical_bars,offset_16,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.055958,1.000000,0.055958,1.000000
vertical_bars,offset_16,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.300787,1.000000,0.300787,1.000000
vertical_bars,offset_16,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.730414,0.250000,0.730414,
vertical_bars,offset_16,2,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.797234,0.250000,0.797234,
vertical_bars,offset_16,3,nonoverlap_64,64,64,laplacian_variance,16,1,0.562500,0.410783,0.562500,0.410783,1.000000
vertical_bars,offset_16,3,nonoverlap_64,64,64,tenengrad_energy,16,1,0.562500,0.473158,0.562500,0.473158,1.000000
vertical_bars,offset_16,3,overlap_64,64,32,laplacian_variance,49,4,0.562500,0.410783,0.562500,0.410783,1.000000
vertical_bars,offset_16,3,overlap_64,64,32,tenengrad_energy,49,4,0.562500,0.473158,0.562500,0.473158,1.000000
vertical_bars,offset_16,3,fine_32,32,16,laplacian_variance,225,21,1.000000,0.023765,1.000000,0.023765,1.000000
vertical_bars,offset_16,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.140561,1.000000,0.140561,1.000000
vertical_bars,offset_16,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.731337,0.250000,0.731337,
