pattern,blur_sigma,blurred_tiles,area_fraction,placement,metric,global_score,global_ratio,tile_mean_ratio,lowest_quartile_mean_ratio,minimum_tile_ratio,blurred_tile_mean_ratio,sharp_tile_mean_ratio,top_k_recall
vertical_bars,3,8,0.5000,center,laplacian_variance,8108.167847,0.514862,0.505445,0.008790,0.008790,0.010889,1.000000,1.000000
vertical_bars,3,8,0.5000,center,tenengrad_energy,141756.227539,0.562588,0.564223,0.128390,0.128390,0.128446,1.000000,1.000000
vertical_bars,3,16,1.0000,full,laplacian_variance,76.257812,0.004842,0.010889,0.008790,0.008790,0.010889,,1.000000
vertical_bars,3,16,1.0000,full,tenengrad_energy,30582.625000,0.121373,0.128446,0.128390,0.128390,0.128446,,1.000000
concentric_tiles,0,0,0.0000,none,laplacian_variance,32910.146713,1.000000,1.000000,1.000000,1.000000,,1.000000,
concentric_tiles,0,0,0.0000,none,tenengrad_energy,231406.250000,1.000000,1.000000,1.000000,1.000000,,1.000000,
concentric_tiles,1,1,0.0625,edge,laplacian_variance,30919.787522,0.939521,0.939683,0.758732,0.034928,0.034928,1.000000,1.000000
concentric_tiles,1,1,0.0625,edge,tenengrad_energy,224211.802734,0.968910,0.968921,0.875684,0.502735,0.502735,1.000000,1.000000
concentric_tiles,1,1,0.0625,center,laplacian_variance,30963.968246,0.940864,0.939789,0.759156,0.036624,0.036624,1.000000,1.000000
concentric_tiles,1,1,0.0625,center,tenengrad_energy,224188.312012,0.968808,0.969084,0.876334,0.505338,0.505338,1.000000,1.000000
concentric_tiles,1,4,0.2500,edge,laplacian_variance,24981.278906,0.759075,0.758944,0.035776,0.034928,0.035776,1.000000,1.000000
concentric_tiles,1,4,0.2500,edge,tenengrad_energy,202616.741211,0.875589,0.876009,0.504036,0.502735,0.504036,1.000000,1.000000
concentric_tiles,1,4,0.2500,center,laplacian_variance,25069.641342,0.761760,0.759156,0.036624,0.036624,0.036624,1.000000,1.000000
concentric_tiles,1,4,0.2500,center,tenengrad_energy,202569.759766,0.875386,0.876334,0.505338,0.505338,0.505338,1.000000,1.000000
concentric_tiles,1,8,0.5000,edge,laplacian_variance,17024.511397,0.517303,0.517888,0.035352,0.034928,0.035776,1.000000,1.000000
concentric_tiles,1,8,0.5000,edge,tenengrad_energy,173844.863281,0.751254,0.752018,0.503386,0.502735,0.504036,1.000000,1.000000
concentric_tiles,1,8,0.5000,center,laplacian_variance,17112.877783,0.519988,0.518100,0.035776,0.035776,0.036200,1.000000,1.000000
concentric_tiles,1,8,0.5000,center,tenengrad_energy,173797.881836,0.751051,0.752343,0.504036,0.504036,0.504687,1.000000,1.000000
concentric_tiles,1,16,1.0000,full,laplacian_variance,1083.068783,0.032910,0.035776,0.034928,0.034928,0.035776,,1.000000
concentric_tiles,1,16,1.0000,full,tenengrad_energy,116318.738281,0.502660,0.504036,0.502735,0.502735,0.504036,,1.000000
concentric_tiles,2,1,0.0625,edge,laplacian_variance,30879.372675,0.938293,0.937975,0.751898,0.007593,0.007593,1.000000,1.000000
concentric_tiles,2,1,0.0625,edge,tenengrad_energy,219310.909698,0.947731,0.947315,0.789258,0.157033,0.157033,1.000000,1.000000
concentric_tiles,2,1,0.0625,center,laplacian_variance,30938.200180,0.940081,0.938006,0.752026,0.008103,0.008103,1.000000,1.000000
concentric_tiles,2,1,0.0625,center,tenengrad_energy,219337.633789,0.947847,0.947443,0.789773,0.159090,0.159090,1.000000,1.000000
concentric_tiles,2,4,0.2500,edge,laplacian_variance,24796.048416,0.753447,0.751962,0.007848,0.007593,0.007848,1.000000,1.000000
concentric_tiles,2,4,0.2500,edge,tenengrad_energy,182802.365509,0.789963,0.789516,0.158063,0.157033,0.158063,1.000000,1.000000
concentric_tiles,2,4,0.2500,center,laplacian_variance,24913.699936,0.757022,0.752026,0.008103,0.008103,0.008103,1.000000,1.000000
concentric_tiles,2,4,0.2500,center,tenengrad_energy,182855.878906,0.790194,0.789773,0.159090,0.159090,0.159090,1.000000,1.000000
concentric_tiles,2,8,0.5000,edge,laplacian_variance,16627.623466,0.505243,0.503924,0.007721,0.007593,0.007848,1.000000,1.000000
concentric_tiles,2,8,0.5000,edge,tenengrad_energy,134060.334290,0.579329,0.579031,0.157548,0.157033,0.158063,1.000000,1.000000
concentric_tiles,2,8,0.5000,center,laplacian_variance,16745.265606,0.508818,0.503988,0.007849,0.007849,0.007976,1.000000,1.000000
concentric_tiles,2,8,0.5000,center,tenengrad_energy,134114.273926,0.579562,0.579288,0.158064,0.158064,0.158577,1.000000,1.000000
concentric_tiles,2,16,1.0000,full,laplacian_variance,236.443381,0.007185,0.007848,0.007593,0.007593,0.007848,,1.000000
concentric_tiles,2,16,1.0000,full,tenengrad_energy,36438.065552,0.157464,0.158063,0.157033,0.157033,0.158063,,1.000000
concentric_tiles,3,1,0.0625,edge,laplacian_variance,30879.701386,0.938303,0.937575,0.750300,0.001199,0.001199,1.000000,1.000000
concentric_tiles,3,1,0.0625,edge,tenengrad_energy,217577.978058,0.940242,0.939186,0.756742,0.026970,0.026970,1.000000,1.000000
concentric_tiles,3,1,0.0625,center,laplacian_variance,30951.390854,0.940482,0.937581,0.750325,0.001298,0.001298,1.000000,1.000000
concentric_tiles,3,1,0.0625,center,tenengrad_energy,217712.801025,0.940825,0.939224,0.756895,0.027582,0.027582,1.000000,1.000000
concentric_tiles,3,4,0.2500,edge,laplacian_variance,24771.734374,0.752708,0.750312,0.001249,0.001199,0.001249,1.000000,1.000000
concentric_tiles,3,4,0.2500,edge,tenengrad_energy,175541.755402,0.758587,0.756820,0.027280,0.026970,0.027280,1.000000,1.000000
concentric_tiles,3,4,0.2500,center,laplacian_variance,24915.079453,0.757064,0.750325,0.001298,0.001298,0.001298,1.000000,1.000000
concentric_tiles,3,4,0.2500,center,tenengrad_energy,175814.189941,0.759764,0.756895,0.027582,0.027582,0.027582,1.000000,1.000000
concentric_tiles,3,8,0.5000,edge,laplacian_variance,16553.363061,0.502987,0.500624,0.001224,0.001199,0.001249,1.000000,1.000000
concentric_tiles,3,8,0.5000,edge,tenengrad_energy,119264.617249,0.515391,0.513640,0.027127,0.026970,0.027280,1.000000,1.000000
concentric_tiles,3,8,0.5000,center,laplacian_variance,16696.725855,0.507343,0.500637,0.001249,0.001249,0.001274,1.000000,1.000000
concentric_tiles,3,8,0.5000,center,tenengrad_energy,119542.211426,0.516590,0.513717,0.027285,0.027285,0.027433,1.000000,1.000000
concentric_tiles,3,16,1.0000,full,laplacian_variance,36.775009,0.001117,0.001249,0.001199,0.001199,0.001249,,1.000000
concentric_tiles,3,16,1.0000,full,tenengrad_energy,6295.973267,0.027207,0.027280,0.026970,0.026970,0.027280,,1.000000
