quality,libjpeg_scale_percent,opencv_quantization_fingerprint,pillow_quantization_fingerprint,quantization_tables_equal,encoded_bytes_equal,luma_min,luma_max,luma_mean,chroma_min,chroma_max,chroma_mean,adjacent_table_l1_from_previous_quality
34,147,e6347cd4bbc2fc4a0e760aff67d9d3455fa4d00540e9f2711067482ce81624f0,e6347cd4bbc2fc4a0e760aff67d9d3455fa4d00540e9f2711067482ce81624f0,1,1,15,178,84.703125,25,146,126.781250,324
35,142,b8cb954f638c13c55817f4e58f737e801bf9fab59a3a3a4c9e6456a3ef65ffcc,b8cb954f638c13c55817f4e58f737e801bf9fab59a3a3a4c9e6456a3ef65ffcc,1,1,14,172,81.875000,24,141,122.515625,454
36,138,e3c34665320217ab7b4b5afbd38e110f09ca84c16d6ac8faebe3f8bbcfd1ef4c,e3c34665320217ab7b4b5afbd38e110f09ca84c16d6ac8faebe3f8bbcfd1ef4c,1,1,14,167,79.468750,23,137,119.000000,379
37,135,167c1cdf4c3318edb82add968321820b26bfd29363215e0f8b678084c3c66b16,167c1cdf4c3318edb82add968321820b26bfd29363215e0f8b678084c3c66b16,1,1,14,163,77.750000,23,134,116.359375,279
38,131,576ab0483f67297bcd37b07d258141945857dc4e9ea8dfd5c6a119f6ffe4dfb7,576ab0483f67297bcd37b07d258141945857dc4e9ea8dfd5c6a119f6ffe4dfb7,1,1,13,159,75.453125,22,130,112.921875,367
39,128,529f946865185fc2bde266ec66c259f829d78d33da0e21f2187a92bdae2be977,529f946865185fc2bde266ec66c259f829d78d33da0e21f2187a92bdae2be977,1,1,13,155,73.734375,22,127,110.312500,277
40,125,4dd4a7ec190b10465aaea3a7501a407afe0fdf035023f8b2de9b8327e72a7029,4dd4a7ec190b10465aaea3a7501a407afe0fdf035023f8b2de9b8327e72a7029,1,1,13,151,72.125000,21,124,107.765625,266
41,121,173e97aae975468515d80b6bfaeccb859654a3e472dcebd316a9aab7e3e2fbc0,173e97aae975468515d80b6bfaeccb859654a3e472dcebd316a9aab7e3e2fbc0,1,1,12,146,69.734375,21,120,104.250000,378
42,119,a6669dca2d1a769977c1733f6bdd57d9b34ffc6bc69dad63cf2cd342e5ecac7c,a6669dca2d1a769977c1733f6bdd57d9b34ffc6bc69dad63cf2cd342e5ecac7c,1,1,12,144,68.640625,20,118,102.531250,180
43,116,6f1dbde3a7d823f54bfae3d099a3b8757a28311031cf1dddab25ecd44828c5b0,6f1dbde3a7d823f54bfae3d099a3b8757a28311031cf1dddab25ecd44828c5b0,1,1,12,140,66.875000,20,115,99.937500,279
44,113,badcd9f035db3d18971ba0866dafa5a3cb7d7211b0f19a15534eda9912b88745,badcd9f035db3d18971ba0866dafa5a3cb7d7211b0f19a15534eda9912b88745,1,1,11,137,65.093750,19,112,97.281250,284
45,111,f3f8e13d4e42c6fa11c31548e4487fc1ed25ead784020093c6a248618f821493,f3f8e13d4e42c6fa11c31548e4487fc1ed25ead784020093c6a248618f821493,1,1,11,134,63.937500,19,110,95.562500,184
46,108,25464b3e777855e4d48163a0b7b57939f884478750c0dce0238504914f47574e,25464b3e777855e4d48163a0b7b57939f884478750c0dce0238504914f47574e,1,1,11,131,62.187500,18,107,92.937500,280
47,106,6daf596c53d64676f4c32175e9762870a76b6d621ae074aaefac88e2abddec35,6daf596c53d64676f4c32175e9762870a76b6d621ae074aaefac88e2abddec35,1,1,11,128,61.078125,18,105,91.218750,181
48,104,5df101d0b38478de5a14ebbfede95ca8b6870c097e1194976cef264c353f3a69,5df101d0b38478de5a14ebbfede95ca8b6870c097e1194976cef264c353f3a69,1,1,10,126,59.921875,18,103,89.515625,183
49,102,d1701dff28441a9654a661bff27b352058d64632880a0c2fd7a1a91348b7d4c1,d1701dff28441a9654a661bff27b352058d64632880a0c2fd7a1a91348b7d4c1,1,1,10,123,58.671875,17,101,87.718750,195
50,100,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1,1,10,121,57.625000,17,99,86.015625,176
51,98,4dd32689c0f986111a7e5b7cfdad490b9c859fb5f81724a088ec8297e1e80acf,4dd32689c0f986111a7e5b7cfdad490b9c859fb5f81724a088ec8297e1e80acf,1,1,10,119,56.578125,17,97,84.312500,176
52,96,d9472442be667a70f2d4de1a068e5189854498661c967ddd8d02d49a68e52d51,d9472442be667a70f2d4de1a068e5189854498661c967ddd8d02d49a68e52d51,1,1,10,116,55.328125,16,95,82.515625,195
53,94,8c4b04d2188500beb274880463b2f7cdcf58507b76608f1747f697c2607a2290,8c4b04d2188500beb274880463b2f7cdcf58507b76608f1747f697c2607a2290,1,1,9,114,54.171875,16,93,80.812500,183
54,92,24c01ed9f77bf1c15cb4952ea3e3fee8c86952c85c8d601057475cc6c0dde04d,24c01ed9f77bf1c15cb4952ea3e3fee8c86952c85c8d601057475cc6c0dde04d,1,1,9,111,53.062500,16,91,79.093750,181
55,90,bda81771c9c6f95f89672fbeea6ca7da2be4ac851a848f75eb2e0b5aaf56840a,bda81771c9c6f95f89672fbeea6ca7da2be4ac851a848f75eb2e0b5aaf56840a,1,1,9,109,51.921875,15,89,77.296875,188
56,88,cc95af9138055bc4f5e78ac2db9083f424ffa554f4d68abb89b9d81c38c1b9ca,cc95af9138055bc4f5e78ac2db9083f424ffa554f4d68abb89b9d81c38c1b9ca,1,1,9,106,50.734375,15,87,75.578125,186
57,86,31438dc81db0082b3c1331fb45f1cfae84096536532c15a39b723b0e2336562c,31438dc81db0082b3c1331fb45f1cfae84096536532c15a39b723b0e2336562c,1,1,9,104,49.531250,15,85,73.843750,188
58,84,4f88c7c3faebcdf5cdb93ded6696fb8a959da54e9ff291d82ccdca04f4fe8952,4f88c7c3faebcdf5cdb93ded6696fb8a959da54e9ff291d82ccdca04f4fe8952,1,1,8,102,48.375000,14,83,72.093750,186
59,82,ee6b7448b96ec63a4f60294329d16f0345f8216024d0543e2c3b798ac4e92bc8,ee6b7448b96ec63a4f60294329d16f0345f8216024d0543e2c3b798ac4e92bc8,1,1,8,99,47.203125,14,81,70.406250,183
60,80,31ee61a9735f00b7e846a7911128feceb4ab43a86092c53e77bf4783a97a3dd9,31ee61a9735f00b7e846a7911128feceb4ab43a86092c53e77bf4783a97a3dd9,1,1,8,97,46.125000,14,79,68.671875,180
61,78,e1f7f9b47e92ccf9dcc382d552c49e3b4c92f6be181dd55fe76bb79e565765b7,e1f7f9b47e92ccf9dcc382d552c49e3b4c92f6be181dd55fe76bb79e565765b7,1,1,8,94,44.906250,13,77,66.906250,191
62,76,340e87df5c10aa38ec3b708f91dac9926a819d4084fd59dbe0671bb559b9ae5e,340e87df5c10aa38ec3b708f91dac9926a819d4084fd59dbe0671bb559b9ae5e,1,1,8,92,43.812500,13,75,65.203125,179
63,74,9196799747366981d4c49bcdc3bb0f97b222db57fa4294d85f70a7dc97ce1cdd,9196799747366981d4c49bcdc3bb0f97b222db57fa4294d85f70a7dc97ce1cdd,1,1,7,90,42.609375,13,73,63.453125,189
64,72,cec8fde8e3038c769dd53b7d3bbeee238fd76b1063b416cc535f11697c4bf105,cec8fde8e3038c769dd53b7d3bbeee238fd76b1063b416cc535f11697c4bf105,1,1,7,87,41.515625,12,71,61.718750,181
65,70,726f6d8413949762e5803caaf3495f3f35cf65eda85a09c3d1690cdaf2fa00f5,726f6d8413949762e5803caaf3495f3f35cf65eda85a09c3d1690cdaf2fa00f5,1,1,7,85,40.359375,12,69,59.984375,185
66,68,bd60b963db6f86942abea987c4b6d207bf82989cb772252ecd79f30c4628d512,bd60b963db6f86942abea987c4b6d207bf82989cb772252ecd79f30c4628d512,1,1,7,82,39.203125,12,67,58.234375,186
67,66,afa2fd0a84e40f435218bc93aa7dc73c33fc44a09107a7fe53ba25594860f202,afa2fd0a84e40f435218bc93aa7dc73c33fc44a09107a7fe53ba25594860f202,1,1,7,80,38.078125,11,65,56.515625,182
68,64,1b27418613a9016854daf2b5667d0ab9bc4440cf0efab4979d84d97639cca1aa,1b27418613a9016854daf2b5667d0ab9bc4440cf0efab4979d84d97639cca1aa,1,1,6,77,36.906250,11,63,54.765625,187
69,62,36b84ba78f09c67f3fe3dab4bc34913158ea0325141840f81a69284d755b1edf,36b84ba78f09c67f3fe3dab4bc34913158ea0325141840f81a69284d755b1edf,1,1,6,75,35.781250,11,61,53.031250,183
70,60,b9f0bb1c9b2e7a78a772bba9870563dd5b2bd5bbd48616437c0d6c95bf6fc577,b9f0bb1c9b2e7a78a772bba9870563dd5b2bd5bbd48616437c0d6c95bf6fc577,1,1,6,73,34.546875,10,59,51.312500,189
