pattern,blur_sigma,quality,chroma_sampling,encoder_path,encoded_sha256,decoded_pixels_equal,pixel_mae,pixel_max_abs_error,changed_pixel_fraction,opencv_decoded_sha256,pillow_decoded_sha256,laplacian_pillow_to_opencv_ratio,tenengrad_pillow_to_opencv_ratio
achromatic_checkerboard,1,50,444,opencv_quality,2ced10f58278fdf603652d8387384bf35e9d7ec12c3bb0247be7a250502c6cd3,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,50,444,pillow_quality,2ced10f58278fdf603652d8387384bf35e9d7ec12c3bb0247be7a250502c6cd3,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,50,444,pillow_explicit_dqt,2ced10f58278fdf603652d8387384bf35e9d7ec12c3bb0247be7a250502c6cd3,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,50,444,pillow_optimized,52689d05cebab462e8fe592a343f37305b2e2f9c2a31517555350374139f9f6d,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,50,420,opencv_quality,6bd69d046dc3f9578abd98ece7f728076027de4570a86adf8da99f0fdf32c766,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,50,420,pillow_quality,6bd69d046dc3f9578abd98ece7f728076027de4570a86adf8da99f0fdf32c766,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,50,420,pillow_explicit_dqt,6bd69d046dc3f9578abd98ece7f728076027de4570a86adf8da99f0fdf32c766,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,50,420,pillow_optimized,17599ef1fd4b2db970313b59f669def0ce3d938138cc4668a77603da5b2996d2,1,0.000000,0,0.000000,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,ccaf2ba1d6bb64929f74a79e063d36ae92961a363b0df229b411e2deace0bda8,1.000000,1.000000
achromatic_checkerboard,1,75,444,opencv_quality,1d63df2e2a527cc83f9753eafebcaaf1c2b2209a60341d9ec7763677c6c9dd11,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
achromatic_checkerboard,1,75,444,pillow_quality,1d63df2e2a527cc83f9753eafebcaaf1c2b2209a60341d9ec7763677c6c9dd11,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
