stage,control_id,face_index,surface_type,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,u_span,v_span,axis_origin,axis_direction,radius,radial_polarity,maximum_absolute_curvature,wire_count,inner_wire_count,edge_count,maximum_edge_length,adjacent_face_indices
step_imported,through_slot,3,plane,128.85840734641019,7,5,4,0,0,1,14,10,,,,,0,2,1,8,14,1|2|4|6|7|8|9|10
step_imported,through_slot,4,plane,56,7,10,2,-0,1,0,4,14,,,,,0,1,0,4,14,1|3|5|6
step_imported,through_slot,5,plane,128.85840734641019,7,5,0,-0,-0,-1,14,10,,,,,0,2,1,8,14,1|2|4|6|7|8|9|10
step_imported,through_slot,6,plane,40,14,5,2,1,0,-0,4,10,,,,,0,1,0,4,10,2|3|4|5
step_imported,through_slot,7,cylinder,12.56637061436,9.6366197723675402,5.0000000000000657,2,-1,-2.0712926881000129e-13,0,3.141592653590207,4,9.0|5.0|-1.0,-0.0|-0.0|-1.0,1,-1,1,1,0,4,4,3|5|8|10
step_imported,through_slot,8,plane,16,7,6,2,0,-1,0,4,4,,,,,0,1,0,4,4,3|5|7|9
step_imported,through_slot,9,cylinder,12.56637061436,4.3633802276324607,4.9999999999999343,2,1,2.0712926881000129e-13,-0,3.141592653590207,4,5.0|5.0|-1.0,-0.0|0.0|-1.0,1,-1,1,1,0,4,4,3|5|8|10
step_imported,through_slot,10,plane,16,7,4,2,-0,1,0,4,4,,,,,0,1,0,4,4,3|5|7|9
constructed,chamfer_operation,1,plane,39.999999999999993,12,4,2.5,1,0,-0,5,8,,,,,0,1,0,4,8,2|3|4|5
constructed,chamfer_operation,2,plane,71.5,5.9603729603729612,0,2.9813519813519811,0,-1,-0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
constructed,chamfer_operation,3,plane,11.313708498984765,11.5,3.9999999999999996,5.5,0.70710678118654757,0,0.70710678118654757,8,1.4142135623730963,,,,,0,1,0,4,8,1|2|5|6
constructed,chamfer_operation,4,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|5|7
constructed,chamfer_operation,5,plane,71.5,5.9603729603729612,8,2.9813519813519811,-0,1,0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
constructed,chamfer_operation,6,plane,88,5.5,4,6,0,0,1,11,8,,,,,0,1,0,4,11,2|3|5|7
constructed,chamfer_operation,7,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|4|5|6
step_imported,chamfer_operation,1,plane,39.999999999999993,12,4,2.5,1,0,-0,5,8,,,,,0,1,0,4,8,2|3|4|5
