platform_label,observation_id,control_id,stage,entity_type,analysis_local_index,tolerance
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,11,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,12,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,13,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,14,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,15,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,16,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,17,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,18,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,19,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,20,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,21,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,22,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,23,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,edge,24,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,face,1,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,face,2,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,face,3,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,face,4,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,face,5,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__constructed,small_gap_box_faces,constructed,face,6,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,1,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,2,1.0000000000000002e-07
