pattern,placement,region_top,region_left,region_size,blur_sigma,configuration,window_size,stride,window_row,window_column,row_start,column_start,coverage_fraction,is_positive,laplacian_variance_reference,laplacian_variance_observed,laplacian_variance_ratio,tenengrad_energy_reference,tenengrad_energy_observed,tenengrad_energy_ratio
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,1,0,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,2,0,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,3,0,48,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,4,0,64,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,5,0,80,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,6,0,96,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,7,0,112,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,8,0,128,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,9,0,144,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,10,0,160,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,11,0,176,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,12,0,192,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,13,0,208,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,14,0,224,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,0,16,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,1,16,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,2,16,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,3,16,48,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,4,16,64,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,5,16,80,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,6,16,96,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,7,16,112,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,8,16,128,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,9,16,144,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
