comparison,control_id,source_stage,target_stage,source_edge_index,target_edge_index,source_truth_role,target_truth_role,curve_type_matches,support_error,length_relative_error,endpoint_pair_max_distance,source_endpoints_on_target,source_incident_face_count,target_incident_face_count,incident_face_count_matches,source_incident_face_indices,mapped_source_incident_target_face_indices,target_incident_face_indices,mapped_target_incident_source_face_indices,topology_candidate_supports_geometry,selected
step_import,split_box,constructed,step_imported,18,18,long_y6_z0_right,long_y6_z0_right,1,0,0,0,1,2,2,1,8|9,8|9,8|9,8|9,1,1
step_import,split_box,constructed,step_imported,19,19,"edge_10,6,0__10,6,3","edge_10,6,0__10,6,3",1,0,0,0,1,2,2,1,8|10,8|10,8|10,8|10,1,1
step_import,split_box,constructed,step_imported,20,20,"edge_10,0,0__10,6,0","edge_10,0,0__10,6,0",1,0,0,0,1,2,2,1,9|10,9|10,9|10,9|10,1,1
step_import,coincident_faces,constructed,step_imported,1,1,"edge_0,0,0__3,0,0","edge_0,0,0__3,0,0",1,0,0,0,1,1,1,1,1,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,1,5,"edge_0,0,0__3,0,0","edge_0,0,0__3,0,0",1,0,0,0,1,1,1,1,1,1|2,2,1|2,1,0
step_import,coincident_faces,constructed,step_imported,2,2,"edge_3,0,0__3,2,0","edge_3,0,0__3,2,0",1,0,0,0,1,1,1,1,1,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,2,6,"edge_3,0,0__3,2,0","edge_3,0,0__3,2,0",1,0,0,0,1,1,1,1,1,1|2,2,1|2,1,0
step_import,coincident_faces,constructed,step_imported,3,3,"edge_0,2,0__3,2,0","edge_0,2,0__3,2,0",1,0,0,0,1,1,1,1,1,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,3,7,"edge_0,2,0__3,2,0","edge_0,2,0__3,2,0",1,0,0,0,1,1,1,1,1,1|2,2,1|2,1,0
step_import,coincident_faces,constructed,step_imported,4,4,"edge_0,0,0__0,2,0","edge_0,0,0__0,2,0",1,0,0,0,1,1,1,1,1,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,4,8,"edge_0,0,0__0,2,0","edge_0,0,0__0,2,0",1,0,0,0,1,1,1,1,1,1|2,2,1|2,1,0
step_import,coincident_faces,constructed,step_imported,5,1,"edge_0,0,0__3,0,0","edge_0,0,0__3,0,0",1,0,0,0,1,1,1,1,2,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,5,5,"edge_0,0,0__3,0,0","edge_0,0,0__3,0,0",1,0,0,0,1,1,1,1,2,1|2,2,1|2,1,0
step_import,coincident_faces,constructed,step_imported,6,2,"edge_3,0,0__3,2,0","edge_3,0,0__3,2,0",1,0,0,0,1,1,1,1,2,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,6,6,"edge_3,0,0__3,2,0","edge_3,0,0__3,2,0",1,0,0,0,1,1,1,1,2,1|2,2,1|2,1,0
step_import,coincident_faces,constructed,step_imported,7,3,"edge_0,2,0__3,2,0","edge_0,2,0__3,2,0",1,0,0,0,1,1,1,1,2,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,7,7,"edge_0,2,0__3,2,0","edge_0,2,0__3,2,0",1,0,0,0,1,1,1,1,2,1|2,2,1|2,1,0
step_import,coincident_faces,constructed,step_imported,8,4,"edge_0,0,0__0,2,0","edge_0,0,0__0,2,0",1,0,0,0,1,1,1,1,2,1|2,1,1|2,1,0
step_import,coincident_faces,constructed,step_imported,8,8,"edge_0,0,0__0,2,0","edge_0,0,0__0,2,0",1,0,0,0,1,1,1,1,2,1|2,2,1|2,1,0
same_domain_healing,split_box,step_imported,healed,1,1,"edge_0,0,0__0,0,3","edge_0,0,0__0,0,3",1,0,0,0,1,2,2,1,1|2,1|6,1|6,1|2|6,1,1
same_domain_healing,split_box,step_imported,healed,2,2,"edge_0,0,0__0,6,0","edge_0,0,0__0,6,0",1,0,0,0,1,2,2,1,1|5,1|5,1|5,1|5|9,1,1
same_domain_healing,split_box,step_imported,healed,3,3,"edge_0,6,0__0,6,3","edge_0,6,0__0,6,3",1,0,0,0,1,2,2,1,1|4,1|4,1|4,1|4|8,1,1
same_domain_healing,split_box,step_imported,healed,4,4,"edge_0,0,3__0,6,3","edge_0,0,3__0,6,3",1,0,0,0,1,2,2,1,1|3,1|2,1|2,1|3|7,1,1
same_domain_healing,split_box,step_imported,healed,5,12,long_y0_z0_left,long_y0_z0,1,0,0.59999999999999998,6,1,2,2,1,2|5,5|6,5|6,2|5|6|9,1,1
same_domain_healing,split_box,step_imported,healed,6,5,long_y0_z3_left,long_y0_z3,1,0,0.59999999999999998,6,1,2,2,1,2|3,2|6,2|6,2|3|6|7,1,1
same_domain_healing,split_box,step_imported,healed,9,7,long_y6_z3_left,long_y6_z3,1,0,0.59999999999999998,6,1,2,2,1,3|4,2|4,2|4,3|4|7|8,1,1
same_domain_healing,split_box,step_imported,healed,10,11,long_y6_z0_left,long_y6_z0,1,0,0.59999999999999998,6,1,2,2,1,4|5,4|5,4|5,4|5|8|9,1,1
same_domain_healing,split_box,step_imported,healed,13,12,long_y0_z0_right,long_y0_z0,1,0,0.40000000000000002,4,1,2,2,1,6|9,5|6,5|6,2|5|6|9,1,1
same_domain_healing,split_box,step_imported,healed,14,5,long_y0_z3_right,long_y0_z3,1,0,0.40000000000000002,4,1,2,2,1,6|7,2|6,2|6,2|3|6|7,1,1
same_domain_healing,split_box,step_imported,healed,15,8,"edge_10,0,0__10,0,3","edge_10,0,0__10,0,3",1,0,0,0,1,2,2,1,6|10,3|6,3|6,2|6|10,1,1
same_domain_healing,split_box,step_imported,healed,16,6,"edge_10,0,3__10,6,3","edge_10,0,3__10,6,3",1,0,0,0,1,2,2,1,7|10,2|3,2|3,3|7|10,1,1
same_domain_healing,split_box,step_imported,healed,17,7,long_y6_z3_right,long_y6_z3,1,0,0.40000000000000002,4,1,2,2,1,7|8,2|4,2|4,3|4|7|8,1,1
same_domain_healing,split_box,step_imported,healed,18,11,long_y6_z0_right,long_y6_z0,1,0,0.40000000000000002,4,1,2,2,1,8|9,4|5,4|5,4|5|8|9,1,1
same_domain_healing,split_box,step_imported,healed,19,10,"edge_10,6,0__10,6,3","edge_10,6,0__10,6,3",1,0,0,0,1,2,2,1,8|10,3|4,3|4,4|8|10,1,1
same_domain_healing,split_box,step_imported,healed,20,9,"edge_10,0,0__10,6,0","edge_10,0,0__10,6,0",1,0,0,0,1,2,2,1,9|10,3|5,3|5,5|9|10,1,1
