pipeline,pipeline_description,noise_std,metric,calibration_source,anchor_observations,balanced_accuracy,sharp_false_blur_count,sharp_false_blur_rate,blurred_miss_count,blurred_miss_rate,adjacent_pair_count,adjacent_order_violation_count,adjacent_order_violation_rate,sequence_count,fully_ordered_sequence_rate
unsharp_1_0,"Unsharp amount 1.0, sigma 1",5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,10,0.111111,30,0.666667
unsharp_1_0,"Unsharp amount 1.0, sigma 1",5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_1_0,"Unsharp amount 1.0, sigma 1",15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.666667,0,0.000000,20,0.666667,90,53,0.588889,30,0.000000
unsharp_1_0,"Unsharp amount 1.0, sigma 1",15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.666667,20,0.666667,0,0.000000,90,0,0.000000,30,1.000000
unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.666667,20,0.666667,0,0.000000,90,0,0.000000,30,1.000000
unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.666667,20,0.666667,0,0.000000,90,0,0.000000,30,1.000000
jpeg_then_resize,JPEG quality 75 then area-linear resize,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_then_resize,JPEG quality 75 then area-linear resize,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_then_resize,JPEG quality 75 then area-linear resize,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_then_resize,JPEG quality 75 then area-linear resize,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_then_resize,JPEG quality 75 then area-linear resize,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
jpeg_then_resize,JPEG quality 75 then area-linear resize,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,10,0.333333,0,0.000000,90,0,0.000000,30,1.000000
resize_then_jpeg,Area-linear resize then JPEG quality 75,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_then_jpeg,Area-linear resize then JPEG quality 75,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_then_jpeg,Area-linear resize then JPEG quality 75,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_then_jpeg,Area-linear resize then JPEG quality 75,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_then_jpeg,Area-linear resize then JPEG quality 75,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_then_jpeg,Area-linear resize then JPEG quality 75,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,10,0.333333,0,0.000000,90,0,0.000000,30,1.000000
