pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std,zero_fraction_mean,full_scale_fraction_mean
brightness_plus_30,Grayscale linear transform with beta +30,0,1,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.049775,0.011008,0.000000,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,1,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.477597,0.046689,0.000000,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,2,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.009725,0.001439,0.000000,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,2,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.230827,0.068071,0.000000,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,3,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.004803,0.002381,0.000000,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,3,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,0.117670,0.067828,0.000000,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,5,0,laplacian_variance,30,0.996042,0.005696,0.988067,1.000000,1.000000,1.364144,0.432186,0.000000,0.073534
brightness_plus_30,Grayscale linear transform with beta +30,5,0,tenengrad_energy,30,0.996816,0.004581,0.990445,1.000000,1.000000,1.056042,0.076229,0.000000,0.073534
brightness_plus_30,Grayscale linear transform with beta +30,5,1,laplacian_variance,30,0.997796,0.003172,0.993316,1.000000,1.000000,0.414446,0.418537,0.000000,0.015876
brightness_plus_30,Grayscale linear transform with beta +30,5,1,tenengrad_energy,30,0.999421,0.000833,0.998239,1.000000,1.000000,0.534272,0.111910,0.000000,0.015876
brightness_plus_30,Grayscale linear transform with beta +30,5,2,laplacian_variance,30,0.999966,0.000058,0.999863,1.000000,1.000000,0.375205,0.430430,0.000000,0.000052
brightness_plus_30,Grayscale linear transform with beta +30,5,2,tenengrad_energy,30,0.999999,0.000002,0.999997,1.000000,1.000000,0.286796,0.129691,0.000000,0.000052
brightness_plus_30,Grayscale linear transform with beta +30,5,3,laplacian_variance,30,0.999998,0.000006,0.999991,1.000000,1.000000,0.370264,0.431671,0.000000,0.000004
brightness_plus_30,Grayscale linear transform with beta +30,5,3,tenengrad_energy,30,1.000000,0.000001,0.999999,1.000000,1.000000,0.173724,0.134920,0.000000,0.000004
brightness_plus_30,Grayscale linear transform with beta +30,15,0,laplacian_variance,30,0.980961,0.026987,0.943201,0.999697,0.999812,4.194070,3.799160,0.000000,0.080063
brightness_plus_30,Grayscale linear transform with beta +30,15,0,tenengrad_energy,30,0.987256,0.018140,0.961827,0.999832,0.999914,1.478184,0.645516,0.000000,0.080063
brightness_plus_30,Grayscale linear transform with beta +30,15,1,laplacian_variance,30,0.981360,0.026502,0.943965,0.999693,0.999885,3.275609,3.782909,0.000000,0.025134
brightness_plus_30,Grayscale linear transform with beta +30,15,1,tenengrad_energy,30,0.995676,0.006079,0.987082,0.999866,0.999966,0.970446,0.677951,0.000000,0.025134
brightness_plus_30,Grayscale linear transform with beta +30,15,2,laplacian_variance,30,0.998884,0.001418,0.996883,0.999800,0.999954,3.241650,3.790609,0.000000,0.000880
brightness_plus_30,Grayscale linear transform with beta +30,15,2,tenengrad_energy,30,0.999725,0.000267,0.999332,0.999825,0.999984,0.729419,0.697526,0.000000,0.000880
brightness_plus_30,Grayscale linear transform with beta +30,15,3,laplacian_variance,30,0.999904,0.000084,0.999817,0.999902,1.000000,3.258814,3.820280,0.000000,0.000118
brightness_plus_30,Grayscale linear transform with beta +30,15,3,tenengrad_energy,30,0.999937,0.000067,0.999847,0.999958,1.000000,0.620195,0.712236,0.000000,0.000118
